,station,parameter,time,value
118,657,1,2011-06-01 03:00:00+00:00,6.6
119,98,1,2011-06-01 03:00:00+00:00,2.4
120,29,1,2011-06-01 03:00:00+00:00,18.5
121,97,1,2011-06-01 03:00:00+00:00,0.0
122,18,1,2011-06-01 03:00:00+00:00,20.4
123,99,1,2011-06-01 03:00:00+00:00,0.0
124,19,1,2011-06-01 03:00:00+00:00,6.2
125,725,1,2011-06-01 03:00:00+00:00,0.0
126,659,1,2011-06-01 03:00:00+00:00,20.6
127,23,1,2011-06-01 03:00:00+00:00,20.2
128,727,1,2011-05-31 21:15:00+00:00,0.0
129,727,1,2011-06-01 03:00:00+00:00,0.0
130,680,1,2011-06-01 03:00:00+00:00,0.0
131,41,1,2011-06-01 03:00:00+00:00,12.0
132,660,1,2011-06-01 03:00:00+00:00,0.0
133,694,1,2011-06-01 03:00:00+00:00,0.0
134,720,1,2011-06-01 03:00:00+00:00,0.0
135,36,1,2011-06-01 03:00:00+00:00,22.1
136,20,1,2011-06-01 03:00:00+00:00,0.0
137,721,1,2011-06-01 03:00:00+00:00,0.0
138,691,1,2011-06-01 03:00:00+00:00,2.0
139,726,1,2011-06-01 03:00:00+00:00,0.0
140,31,1,2011-06-01 03:00:00+00:00,0.0
141,716,1,2011-06-01 03:00:00+00:00,0.0
142,684,1,2011-06-01 03:00:00+00:00,10.8
143,701,1,2011-06-01 03:00:00+00:00,5.0
144,743,1,2011-06-01 03:00:00+00:00,0.0
145,46,1,2011-06-01 03:00:00+00:00,0.0
146,665,1,2011-06-01 03:00:00+00:00,0.0
147,729,1,2011-06-01 03:00:00+00:00,4.1
148,724,1,2011-06-01 03:00:00+00:00,0.0
149,708,1,2011-06-01 03:00:00+00:00,0.0
150,21,1,2011-06-01 03:00:00+00:00,0.0
151,683,1,2011-06-01 03:00:00+00:00,0.0
152,681,1,2011-06-01 03:00:00+00:00,0.6
153,690,1,2011-06-01 03:00:00+00:00,0.0
154,45,1,2011-06-01 03:00:00+00:00,0.0
155,731,1,2011-06-01 03:00:00+00:00,0.0
156,39,1,2011-06-01 03:00:00+00:00,0.2
157,734,1,2011-06-01 03:00:00+00:00,0.0
158,704,1,2011-06-01 03:00:00+00:00,0.0
159,24,1,2011-06-01 03:00:00+00:00,7.9
160,711,1,2011-06-01 03:00:00+00:00,0.0
161,672,1,2011-06-01 03:00:00+00:00,0.0
162,44,1,2011-06-01 03:00:00+00:00,0.0
163,693,1,2011-06-01 03:00:00+00:00,8.0
164,733,1,2011-06-01 03:00:00+00:00,0.0
165,695,1,2011-06-01 03:00:00+00:00,0.0
166,715,1,2011-06-01 03:00:00+00:00,0.0
167,22,1,2011-06-01 03:00:00+00:00,0.0
168,719,1,2011-06-01 03:00:00+00:00,0.0
169,697,1,2011-06-01 03:00:00+00:00,1.0
170,698,1,2011-06-01 03:00:00+00:00,15.1
171,709,1,2011-06-01 03:00:00+00:00,0.0
172,699,1,2011-06-01 03:00:00+00:00,24.2
173,732,1,2011-06-01 03:00:00+00:00,30.5
174,700,1,2011-06-01 03:00:00+00:00,0.0
175,40,1,2011-06-01 03:00:00+00:00,30.5
176,742,1,2011-06-01 03:00:00+00:00,1.0
177,714,1,2011-06-01 03:00:00+00:00,7.3
178,35,1,2011-06-01 03:00:00+00:00,12.0
179,50,1,2011-06-01 03:00:00+00:00,0.0
180,722,1,2011-06-01 03:00:00+00:00,0.0
181,320,1,2011-06-01 03:00:00+00:00,0.8
182,748,1,2011-06-01 03:00:00+00:00,0.0
183,747,1,2011-06-01 03:00:00+00:00,0.0
184,746,1,2011-06-01 03:00:00+00:00,16.5
185,354,1,2011-06-01 03:00:00+00:00,2.5
186,403,1,2011-06-01 03:00:00+00:00,0.0
187,352,1,2011-06-01 03:00:00+00:00,23.6
188,406,1,2011-06-01 03:00:00+00:00,0.0
189,414,1,2011-06-01 03:00:00+00:00,0.0
190,310,1,2011-06-01 03:00:00+00:00,0.0
191,349,1,2011-06-01 03:00:00+00:00,18.1
192,353,1,2011-06-01 03:00:00+00:00,0.0
193,317,1,2011-06-01 03:00:00+00:00,30.0
194,350,1,2011-06-01 03:00:00+00:00,0.0
195,404,1,2011-06-01 03:00:00+00:00,8.8
196,409,1,2011-06-01 03:00:00+00:00,2.7
197,351,1,2011-06-01 03:00:00+00:00,12.3
198,313,1,2011-06-01 03:00:00+00:00,3.0
199,451,1,2011-06-01 03:00:00+00:00,0.0
