,station,parameter,time,value,station__location,station__elevation,longitude,latitude
241,716,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.75019167 28.90711111),1472,81.75019167,28.90711111
242,665,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (83.12980556 27.92205556),1801,83.12980556,27.92205556
243,701,1,2011-06-01 03:00:00+00:00,5,SRID=4326;POINT (81.62608333 28.92202778),1281,81.62608333,28.92202778
244,46,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (87.698824 26.662324),119,87.698824,26.662324
245,729,1,2011-06-01 03:00:00+00:00,4.1,SRID=4326;POINT (81.50561389 28.71301389),535,81.50561389,28.71301389
246,731,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.462491 28.618975),1412,82.462491,28.618975
247,708,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.783333 28.533333),1371,81.783333,28.533333
248,21,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.94999444 28.31149167),1685,82.94999444,28.31149167
249,724,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.02147194 28.52453583),565,82.02147194,28.52453583
250,45,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.62283889 28.05199444),141,81.62283889,28.05199444
251,683,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (85.0012 27.0354),100,85.0012,27.0354
252,690,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.09758333 28.43402778),133,81.09758333,28.43402778
253,681,1,2011-06-01 03:00:00+00:00,20.6,SRID=4326;POINT (81.66824722 28.10055556),165,81.66824722,28.10055556
254,22,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.63231389 28.30619722),1314,82.63231389,28.30619722
255,44,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.15427778 29.55030556),2113,82.15427778,29.55030556
256,672,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.61207 27.96281694),517,82.61207,27.96281694
257,693,1,2011-06-01 03:00:00+00:00,8,SRID=4326;POINT (80.53816111 29.65825694),783,80.53816111,29.65825694
258,733,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.05767389 28.28226694),696,82.05767389,28.28226694
259,39,1,2011-06-01 03:00:00+00:00,20.2,SRID=4326;POINT (87.53619 27.12304),1525,87.53619,27.12304
260,697,1,2011-06-01 03:00:00+00:00,1,SRID=4326;POINT (84.40637778 27.94183333),991,84.40637778,27.94183333
261,719,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (85.025209 27.420213),452,85.025209,27.420213
262,698,1,2011-06-01 03:00:00+00:00,15.1,SRID=4326;POINT (82.283333 29.316667),2438,82.283333,29.316667
263,734,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.28757889 28.528895),1143,82.28757889,28.528895
264,704,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.27985306 28.452255),1338,82.27985306,28.452255
265,24,1,2011-06-01 03:00:00+00:00,7.9,SRID=4326;POINT (86.586215 27.50511778),2383,86.586215,27.50511778
266,711,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.06042111 28.44884389),846,82.06042111,28.44884389
267,695,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.71892611 29.40330694),1099,81.71892611,29.40330694
268,715,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (80.97850889 28.66417611),159,80.97850889,28.66417611
269,709,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (85.164311 27.722878),991,85.164311,27.722878
270,699,1,2011-06-01 03:00:00+00:00,24.2,SRID=4326;POINT (87.986409 26.684103),168,87.986409,26.684103
271,714,1,2011-06-01 03:00:00+00:00,7.3,SRID=4326;POINT (85.905 27.228056),556,85.905,27.228056
272,700,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (87.999321 26.638026),122,87.999321,26.638026
273,40,1,2011-06-01 03:00:00+00:00,320.5,SRID=4326;POINT (80.41317389 29.55743694),1352,80.41317389,29.55743694
