,Station,precipitation,index_no,station,lat,lon,elevation,district,province,station_name
0,Baglung,1774.4,605,Baglung,28.26364,83.6,964,Baglung,4,Baglung
1,Bahrabise,2625.6,1027,Bahrabise,27.78868,85.9,884,Sindhupalchok,3,Bahrabise
2,Baitadi..Gothalapani.,1269.0,102,Baitadi..Gothalapani.,29.55744,80.41,1352,Baitadi,7,Baitadi (Gothalapani)
3,Bajura..Martadi.,1874.8,204,Bajura..Martadi.,29.45698,81.48,1598,Bajura,7,Bajura (Martadi)
4,Bandipur,1588.7,808,Bandipur,27.94183,84.41,991,Tanahun,4,Bandipur
5,Bhairahawa.Airport,1576.8,705,Bhairahawa.Airport,27.50682,83.42,108,Rupandehi,5,Bhairahawa Airport
6,Bhaktapur,1349.9,1052,Bhaktapur,27.67668,85.42,1315,Bhaktapur,3,Bhaktapur
7,Bijuwar.Tar,1162.8,505,Bijuwar.Tar,28.10355,82.85,835,Pyuthan,5,Bijuwar Tar
8,Biratnagar.Airport,1763.6,1319,Biratnagar.Airport,26.48397,87.27,72,Morang,1,Biratnagar Airport
9,Birganj,1396.6,918,Birganj,27.0232,84.88,67,Parsa,2,Birganj
10,Chainpur..East.,1404.3,1303,Chainpur..East.,27.2921,87.32,1277,Sankhuwasabha,1,Chainpur (East)
11,Chainpur.Bajhang.AWS,343.6,299,Chainpur.Bajhang.AWS,29.54589,81.2,1405,Bajhang,7,Chainpur Bajhang AWS
12,Changu.Narayan,1719.5,1059,Changu.Narayan,27.71606,85.43,1502,Bhaktapur,3,Changu Narayan
13,Chapakot,1842.5,810,Chapakot,27.89994,83.85,617,Syangja,4,Chapkot
14,Charikot,2027.1,1102,Charikot,27.66667,86.05,1940,Dolkha,3,Charikot
15,Chatara,2154.1,1316,Chatara,26.82044,87.16,105,Sunsari,1,Chatara
16,Chaurjhari.Tar,1177.5,513,Chaurjhari.Tar,28.65399,82.21,863,Rukum,6,Chaurjhari Tar
17,Chautara,1780.0,1009,Chautara,27.75378,85.73,1552,Sindhupalchok,3,Chautara
18,Chisapani.Karnali.,2205.5,405,Chisapani.Karnali.,28.65,81.29,201,Kailali,7,Chisapani(Karnali)
19,Dadeldhura,1350.3,104,Dadeldhura,29.30135,80.59,1879,Dadeldhura,7,Dadeldhura
20,Dailekh,1694.3,402,Dailekh,28.83811,81.71,1394,Dailekh,6,Dailekh
21,Damak,2284.7,1408,Damak,26.67067,87.7,119,Jhapa,1,Damak
22,Daman,1329.2,905,Daman,27.6044,85.09,2265,Makwanpur,3,Daman
23,Damauli,1693.4,817,Damauli,27.97368,84.27,347,Tanahun,4,Damauli
24,Darchula.New,559.2,107,Darchula.New,29.84496,80.55,945,Darchula,7,Darchula New
25,Dhangadhi.Attariya.,1851.3,209,Dhangadhi.Attariya.,28.81273,80.56,184,Kaliali,7,Dhangadhi(Attariya)
26,Dhankuta,943.6,1307,Dhankuta,26.98322,87.35,1192,Dhankuta,1,Dhankuta
