Province No,District,Name of Local Level,Population,Area sq.km.,Total no of Schools(Community),Total no of Schools(Institutional),Total no of Schools,Total no of Students of All Types Schools (Grade 1-12) Girls,Total no of Students of All Types Schools (Grade 1-12) Boys,Total no of Students of All Types Schools (Grade 1-12)
6,Rukum_West,Sanibheri RM,22194,133.8,49,0,49,4775,4565,9340
6,Salyan,Kapurkot RM,18204,119.21,26,1,27,6741,6240,12981
6,Salyan,Kalimati RM,23005,500.72,52,1,53,5597,5265,10862
6,Salyan,"Kumankh Malika
RM",24972,177.28,49,2,51,3890,3636,7526
6,Salyan,Chhatreshwari RM,21452,150.69,40,3,43,3789,3530,7319
6,Salyan,Dhorchaur RM,13593,89.36,28,0,28,2570,2363,4933
6,Salyan,Tribeni RM,16624,119.11,30,3,33,4075,3947,8022
6,Salyan,Darma RM,19966,81.46,35,0,35,2916,2767,5683
6,Salyan,Bangadkupinde MC,36052,338.21,66,6,72,4100,3739,7839
6,Salyan,Bagchaur MC,34118,163.14,70,8,78,4868,4585,9453
6,Salyan,Sharada MC,33730,198.34,57,8,65,2316,2240,4556
6,Surkhet,Gurvakot MC,43765,228.62,74,6,80,4219,4224,8443
6,Surkhet,Chingad RM,17275,170.19,31,1,32,6869,6733,13602
6,Surkhet,Chaukune RM,25240,381.01,47,1,48,18146,18804,36950
6,Surkhet,Panchapuri MC,32231,329.9,58,1,59,4429,4310,8739
6,Surkhet,Baraha Taal RM,26802,455.09,50,1,51,3424,3273,6697
6,Surkhet,Birendranagar MC,100458,245.06,73,64,137,6968,6765,13733
6,Surkhet,Bheri Ganga MC,41407,256.2,48,1,49,4624,4476,9100
6,Surkhet,Lekbeshi MC,30295,180.92,46,1,47,6334,6292,12626
6,Surkhet,Simta RM,25845,241.64,70,1,71,4265,4027,8292
6,Dailekh,Aathbis MC,29227,168,58,3,61,6362,6173,12535
6,Dailekh,Gurans RM,22033,164.79,46,1,47,3376,3150,6526
6,Dailekh,Chamunda Bindrasaini MC,26149,90.6,52,3,55,4329,4110,8439
6,Dailekh,Thatikadh RM,18896,88.22,39,1,40,5267,5017,10284
6,Dailekh,Dungeswor RM,15883,105.19,31,0,31,7508,7067,14575
6,Dailekh,Dullu MC,41540,156.77,58,2,60,2727,2553,5280
6,Dailekh,Narayan MC,27037,110.63,45,6,51,4136,4125,8261
6,Dailekh,Naumule RM,20802,228.59,52,0,52,3722,3448,7170
6,Dailekh,Bhagwatimai RM,18778,151.52,39,1,40,4195,3923,8118
6,Dailekh,Bhairabi RM,21233,110.46,44,0,44,3896,3631,7527
6,Dailekh,Mahabu RM,19277,110.8,34,2,36,4309,4163,8472
6,Jajarkot,Kuse RM,20621,273.97,51,0,51,4289,4154,8443
6,Jajarkot,Chhedagad MC,35295,284.2,102,4,106,6164,5909,12073
6,Jajarkot,Junichande RM,21733,346.21,59,0,59,9199,8648,17847
6,Jajarkot,Tribeni Nalgad MC,25597,387.44,71,2,73,5732,5676,11408
6,Jajarkot,Barekot RM,18083,577.5,44,0,44,5172,5177,10349
6,Jajarkot,Bheri MC,33515,219.77,55,4,59,3406,3237,6643
6,Jajarkot,Shibalaya RM,15269,134.26,44,0,44,5782,5655,11437
6,Dolpa,Kaike RM,3576,466.6,14,0,14,180,138,318
6,Dolpa,"Chharka Tangsong
RM",1451,345.57,7,1,8,57,63,120
6,Dolpa,Jagadulla RM,2273,83.3,11,0,11,487,448,935
6,Dolpa,Thulibheri MC,8370,421.34,25,2,27,436,347,783
6,Dolpa,Dolpobuddha RM,2126,377.38,2,0,2,972,972,1944
6,Dolpa,Tripurasundari MC,10104,393.57,33,1,34,304,314,618
6,Dolpa,Mudkechula RM,5129,250.08,11,0,11,1397,1341,2738
6,Dolpa,Saiphoksundo RM,3099,123.07,10,1,11,1460,1471,2931
6,Jumla,Kankasundari RM,12977,225.39,19,0,19,4088,4015,8103
6,Jumla,Guthichaur RM,9870,427,6,2,8,1540,1376,2916
6,Jumla,Chandannath MC,19047,102.03,29,1,30,2307,2267,4574
6,Jumla,Tatopani RM,14638,525.56,25,1,26,2194,2096,4290
6,Jumla,Tila RM,13607,175.49,25,1,26,2627,2486,5113
6,Jumla,Patarasi RM,14571,814.07,16,1,17,2399,2339,4738
6,Jumla,Sinja RM,12395,153.29,14,1,15,2375,2260,4635
6,Jumla,Hima RM,10961,132.32,22,1,23,2620,2571,5191
6,Kalikot,Kalika RM,14080,97.32,28,1,29,3018,3018,6036
6,Kalikot,Khadachakra MC,20288,133.29,36,1,37,4891,4870,9761
6,Kalikot,Tilagufa MC,15766,262.56,33,1,34,2126,2060,4186
6,Kalikot,Naraharinath RM,21366,143.86,52,1,53,6267,5998,12265
6,Kalikot,Pachaljharna RM,12343,166.92,28,3,31,3530,3745,7275
6,Kalikot,Palata RM,15303,318.84,32,0,32,3799,3898,7697
6,Kalikot,Mahawai RM,8323,322.07,21,0,21,3817,3666,7483
6,Kalikot,Raskot MC,16272,59.73,25,2,27,3068,3061,6129
6,Kalikot,Satri Tribeni RM,12846,136.71,27,2,29,2754,2694,5448
6,Mugu,Khatyad RM,17116,281.12,43,1,44,3508,3279,6787
6,Mugu,Rara Chhayanath MC,20078,480.67,39,5,44,926,874,1800
6,Mugu,"Mugum
Karmarong RM",5396,2106.91,15,1,16,3129,2951,6080
6,Mugu,Soru RM,12238,365.8,44,1,45,3069,3000,6069
6,Humla,Adanchuli RM,7116,150.61,19,0,19,1394,1360,2754
6,Humla,Kharpunath RM,6011,880,16,0,16,969,925,1894
6,Humla,Chankheli RM,5517,1310.41,20,0,20,1207,1078,2285
6,Humla,Tanjakot RM,5964,159.1,19,0,19,864,787,1651
6,Humla,Namkha RM,3900,2419.64,17,0,17,1525,1425,2950
6,Humla,Sarkegad RM,9868,306.7,30,3,33,1822,1754,3576
6,Humla,Simkot RM,11597,785.89,23,4,27,1271,1187,2458
7,Bajura,Gaumul RM,8515,314.66,23,0,23,3462,3482,6944
7,Bajura,Chhededhaha RM,18575,135.08,31,1,32,3956,3791,7747
7,Bajura,Triveni MC,18363,170.32,36,4,40,3546,3367,6913
7,Bajura,Pandavgupha RM,9432,171.72,17,1,18,3350,3219,6569
7,Bajura,Badimalika MC,16818,276,25,3,28,1719,1571,3290
7,Bajura,Budhiganga MC,21677,59.2,33,10,43,1721,1523,3244
7,Bajura,Budhinanda MC,18776,232.48,30,7,37,1946,1742,3688
7,Bajura,Swamikartik RM,12784,110.55,26,1,27,2510,2242,4752
7,Bajura,Himali RM,9214,830.33,23,1,24,3727,3423,7150
7,Bajhang,Kanda RM,2182,1467.27,5,0,5,3816,3965,7781
7,Bajhang,Kedarsiuy RM,21307,113.91,52,1,53,7426,7105,14531
7,Bajhang,"Khaptad Chhana
RM",15893,113.52,41,1,42,4031,3689,7720
7,Bajhang,Chhabispathi Bhera RM,16296,116.34,41,0,41,2028,1963,3991
7,Bajhang,Jaya Prithvi MC,22191,166.79,54,7,61,5608,5147,10755
7,Bajhang,Talkot RM,11557,335.26,28,1,29,307,328,635
7,Bajhang,Thalara RM,17952,105.51,43,0,43,5628,5413,11041
7,Bajhang,Durgathali RM,12972,61.83,29,1,30,3751,3486,7237
7,Bajhang,Bungal MC,33224,447.59,85,1,86,2646,2564,5210
7,Bajhang,Masta RM,14951,109.24,32,0,32,1236,1403,2639
7,Bajhang,Bitthadchir RM,17154,86.15,32,1,33,2457,2400,4857
7,Bajhang,Surma RM,9022,270.8,16,0,16,3508,3433,6941
7,Achham,Kamalbajar MC,23738,120.78,47,0,47,3104,2657,5761
7,Achham,Chaurpati RM,25149,182.16,41,1,42,4396,4211,8607
7,Achham,Dhakari RM,21562,227.88,45,0,45,4713,4579,9292
7,Achham,Turmakhd RM,24940,232.07,55,2,57,5114,5091,10205
7,Achham,Panchadewal Binayak MC,27485,147.75,61,1,62,7019,6681,13700
7,Achham,Bannigadhi Jayagadh RM,17359,58.26,28,1,29,4506,4420,8926
7,Achham,Mangalsen MC,32331,220.14,51,2,53,6886,6542,13428
7,Achham,Mellekh RM,24670,134.78,34,1,35,5911,5548,11459
7,Achham,Ramaroshan RM,25166,173.33,46,1,47,6446,6068,12514
7,Achham,SaMChebagar MC,33788,166.71,71,2,73,6832,6716,13548
7,Doti,Adarsha RM,23945,128.47,32,5,37,4447,4293,8740
7,Doti,Ki Singh RM,20903,127.01,34,5,39,2447,2288,4735
7,Doti,Jorayal RM,20824,419.09,58,2,60,3321,3154,6475
7,Doti,Dipayal Silgadi MC,32941,126.62,44,6,50,5220,4947,10167
7,Doti,Purvichauki RM,22483,117.66,40,3,43,3345,3206,6551
7,Doti,Baddikedar RM,16720,332.55,40,0,40,3955,3725,7680
7,Doti,Bogatan RM,17902,300.22,43,0,43,3647,3703,7350
7,Doti,Sikhar MC,31801,285.37,68,3,71,3036,3063,6099
7,Doti,Sayal RM,19551,122.72,32,0,32,5630,5477,11107
7,Kailali,Kailari RM,47987,233.27,46,3,49,4989,4590,9579
7,Kailali,Godawari MC,78018,308.63,51,10,61,5872,5420,11292
7,Kailali,Gauriganga MC,55314,244.44,42,7,49,3634,3534,7168
7,Kailali,Ghodaghodi MC,75586,354.45,61,28,89,24932,26184,51116
7,Kailali,Chure RM,18924,493.18,42,0,42,9011,8240,17251
7,Kailali,Janaki RM,48540,107.27,29,2,31,11720,11528,23248
7,Kailali,Joshipur RM,36459,65.57,25,9,34,12901,11794,24695
7,Kailali,Tikapur MC,76084,118.33,35,33,68,6198,5264,11462
7,Kailali,"Dhangadhi Sub-
MP",147741,261.75,84,83,167,5753,5303,11056
7,Kailali,Bardagoriya RM,32683,77.26,17,5,22,5276,4579,9855
7,Kailali,Bhajani MC,51845,176.25,31,0,31,12348,11561,23909
7,Kailali,Mohanyal RM,22053,626.95,40,0,40,3817,3744,7561
7,Kailali,Lamkichuha MC,75425,225,46,21,67,15426,14845,30271
7,KanchaMCur,Krishnapur MC,56643,252.75,37,12,49,9232,8177,17409
7,KanchaMCur,Punarbash MC,53633,103.71,35,22,57,8768,7439,16207
7,KanchaMCur,Beldandi RM,21949,36.7,17,6,23,4035,3642,7677
7,KanchaMCur,Belauri MC,53544,123.37,35,10,45,19193,21511,40704
7,KanchaMCur,Bhimdatta MC,104599,171.8,61,71,132,11362,9911,21273
7,KanchaMCur,Mahakali MC,39253,56.84,26,16,42,3193,2852,6045
7,KanchaMCur,Laljhadi RM,22569,154.65,18,0,18,6530,6000,12530
7,KanchaMCur,Bedkot MC,49479,159.92,28,14,42,9275,8499,17774
7,KanchaMCur,Shuklaphanta MC,46834,162.57,36,13,49,7686,7340,15026
7,Dadeldhura,Ajayemeru RM,7066,148.9,33,3,36,3103,2883,5986
7,Dadeldhura,Amargadhi MC,21245,139.33,31,9,40,2899,2794,5693
7,Dadeldhura,Alital RM,18531,292.87,42,1,43,4510,4074,8584
7,Dadeldhura,Ganyapdhura RM,15093,135.65,25,5,30,2438,2190,4628
7,Dadeldhura,Navadurga RM,19957,141.89,30,5,35,2429,2195,4624
7,Dadeldhura,Parashuram MC,34983,414.07,64,9,73,3245,2955,6200
7,Dadeldhura,Bhageshor RM,14129,233.38,35,0,35,6587,6019,12606
7,Baitadi,Dilasaini RM,22924,125.28,57,2,59,5434,5067,10501
7,Baitadi,Dasharatha Chand MC,34575,135.15,57,10,67,4509,4189,8698
7,Baitadi,Dogadakedar RM,24632,126.38,60,1,61,4556,4382,8938
7,Baitadi,Pancheshwor RM,18766,120.41,34,0,34,4208,4070,8278
7,Baitadi,Patan MC,30435,219.26,65,3,68,3149,3110,6259
7,Baitadi,Purchaudi MC,39174,198.52,88,0,88,4953,4512,9465
7,Baitadi,Melauli MC,22545,119.43,46,1,47,8686,8451,17137
7,Baitadi,Shivanath RM,17115,81.65,36,0,36,3294,3147,6441
7,Baitadi,Sigas RM,21510,245.44,59,0,59,4471,4424,8895
7,Baitadi,Surnya RM,18549,124.52,38,2,40,3454,3285,6739
7,Darchula,Apihimal RM,6779,613.95,24,1,25,1226,1165,2391
7,Darchula,Duhun RM,10818,65.35,19,2,21,1309,1228,2537
7,Darchula,Naugad RM,15874,180.27,42,1,43,1489,1349,2838
7,Darchula,Byas RM,10347,839.26,25,2,27,2395,2279,4674
7,Darchula,Mahakali MC,21231,135.11,50,7,57,3976,4014,7990
7,Darchula,Marma RM,14956,208.06,43,0,43,2527,2343,4870
7,Darchula,Malikarjun RM,15581,100.82,46,0,46,2961,2801,5762
7,Darchula,Lekam RM,14838,83.98,46,1,47,3013,2899,5912
7,Darchula,Sailyashikhar MC,22060,117.81,51,3,54,4455,4159,8614
.,Darchula Total,.,132484,2344.61,346,17,363,23351,22237,45588
.,Grand Total,.,"26494504
(Including Other Population)","147181
(Inclding Remaing Area)",29035,6566,35601,3769124,3622400,7391524
